date,daily_net_inflow_100mn,rolling_7d_net_inflow_100mn,missing_flow_codes
2025-05-15,-25.588089,-90.37766700000012,
2025-05-16,-22.694409,-71.72207100000011,
2025-05-19,-9.753003,-100.27374300000011,
2025-05-20,2.2363020000000002,-73.15031700000011,
2025-05-21,-8.782065000000001,-86.94867600000012,
2025-05-22,-5.315364,-61.96398300000011,
2025-05-23,-3.931812,-73.82844000000011,
2025-05-26,23.451291,-24.789060000000113,
2025-05-27,5.791905,3.6972539999998872,
2025-05-28,-4.708116,8.742140999999886,
2025-05-29,22.86603,29.371868999999883,
2025-05-30,-28.077273,10.076660999999888,
2025-06-03,12.283236,27.675260999999885,
2025-06-04,-1.2575159999999999,30.349556999999887,
2025-06-05,-11.225295,-4.327029000000117,
2025-06-06,-9.909072,-20.02800600000012,
2025-06-09,24.530085,9.210194999999882,
2025-06-10,-32.257899,-45.91373400000012,
2025-06-11,8.583156,-9.253305000000116,
2025-06-12,-18.137925,-39.674466000000116,
2025-06-13,-15.974946,-54.391896000000116,
2025-06-16,27.337068,-15.829533000000119,
2025-06-17,-1.4213249999999997,-7.341786000000118,
2025-06-18,-2.495781,-34.36765200000012,
2025-06-19,-4.748112,-6.857865000000118,
2025-06-20,-12.758633999999999,-28.199655000000117,
2025-06-23,25.394616,15.332885999999881,
2025-06-24,11.6001,42.90793199999988,
2025-06-25,-29.855735999999997,-14.284872000000117,
2025-06-26,-31.407597,-44.27114400000012,
2025-06-27,-26.341731,-68.11709400000012,
2025-06-30,-58.75353,-122.12251200000011,
2025-07-01,-25.083855,-134.4477330000001,
2025-07-02,-13.600557,-173.44290600000014,
2025-07-03,-9.331631999999999,-194.37463800000012,
2025-07-04,-12.916718999999999,-177.4356210000001,
2025-07-07,-6.538914,-152.5669380000001,
2025-07-08,14.354262,-111.87094500000012,
2025-07-09,-9.869346,-62.986761000000115,
2025-07-10,-5.890941,-43.79384700000012,
2025-07-11,16.489017,-13.704273000000114,
2025-07-14,-26.038007999999998,-30.410649000000113,
2025-07-15,-25.736265,-43.23019500000011,
2025-07-16,-2.4009660000000004,-39.092247000000114,
2025-07-17,-5.232258,-58.678767000000114,
2025-07-18,-9.285237,-58.09465800000011,
2025-07-21,-0.9824849999999999,-53.186202000000115,
2025-07-22,-8.808893999999999,-78.48411300000011,
2025-07-23,2.187665999999999,-50.25843900000012,
2025-07-24,19.464138000000002,-5.058036000000115,
2025-07-25,-4.20291,-6.859980000000115,
2025-07-28,-25.630506000000004,-27.25822800000012,
2025-07-29,-24.96474,-42.93773100000012,
2025-07-30,-22.24494,-64.20018600000012,
2025-07-31,-11.558807999999999,-66.95010000000012,
2025-08-01,8.206938,-60.93082800000011,
2025-08-04,-2.9456639999999994,-83.34063000000013,
2025-08-05,-18.0639,-97.20162000000012,
2025-08-06,2.777796,-68.79331800000011,
