date,daily_net_inflow_100mn,rolling_7d_net_inflow_100mn,missing_flow_codes
2026-01-28,-5.812425,-50.876955,
2026-01-29,12.370365,-24.677190000000003,
2026-01-30,-4.93074,-3.8650500000000036,
2026-02-02,4.74444,2.3391899999999963,
2026-02-03,7.6626,2.865014999999997,
2026-02-04,9.163035,15.153074999999998,
2026-02-05,4.7502,27.947474999999997,
2026-02-06,4.0473,37.807199999999995,
2026-02-09,-7.943625,17.493209999999998,
2026-02-10,-8.02125,14.4027,
2026-02-11,1.586655,11.244914999999999,
2026-02-12,-8.488755,-4.90644,
2026-02-13,-6.89634,-20.965815,
2026-02-24,-0.83322,-26.549235,
2026-02-25,-5.16816,-35.764695,
2026-02-26,-10.13472,-37.95579000000001,
2026-02-27,-5.28525,-35.21979,
2026-03-02,-3.75192,-40.558365,
2026-03-03,20.55456,-11.515050000000006,
2026-03-04,-2.75751,-7.3762200000000036,
2026-03-05,-15.7833,-22.326300000000003,
2026-03-06,-0.04473,-17.202870000000004,
2026-03-09,5.58165,-1.486500000000004,
2026-03-10,-9.55305,-5.754300000000005,
2026-03-11,1.63947,-0.36291000000000495,
2026-03-12,5.8968,-15.020670000000006,
2026-03-13,1.9575,-10.305660000000005,
2026-03-16,2.4057,7.883339999999995,
2026-03-17,0.6426,8.570669999999996,
2026-03-18,-4.63845,-1.6494300000000042,
2026-03-19,14.56152,22.465139999999998,
2026-03-20,7.78668,28.612349999999996,
2026-03-23,12.31983,35.03537999999999,
2026-03-24,3.01698,36.09486,
2026-03-25,-13.91925,19.769909999999996,
2026-03-26,5.37372,24.501029999999997,
2026-03-27,0.0,29.139479999999995,
2026-03-30,0.48924,15.067199999999994,
2026-03-31,4.5678,11.848319999999994,
2026-04-01,-16.34586,-16.817370000000004,
2026-04-02,12.9276,-6.906750000000004,
2026-04-03,3.01872,10.031219999999996,
2026-04-07,-8.21304,-3.5555400000000033,
2026-04-08,-3.03525,-6.590790000000004,
2026-04-09,-1.9527,-9.032730000000003,
2026-04-10,-2.1555,-15.756030000000003,
2026-04-13,-16.0728,-15.482970000000005,
2026-04-14,-10.515690000000001,-38.926260000000006,
2026-04-15,-12.49326,-54.43824,
2026-04-16,0.31458,-45.91062,
2026-04-17,-3.1479,-46.023270000000004,
2026-04-20,-10.536299999999999,-54.60687,
2026-04-21,4.55712,-47.89425000000001,
2026-04-22,-10.64184,-42.46329,
2026-04-23,-4.84068,-36.78828000000001,
2026-04-24,-10.19646,-34.49148000000001,
2026-04-27,-15.46452,-50.27058000000001,
2026-04-28,-1.69344,-48.816120000000005,
2026-04-29,2.835,-35.44482,
2026-04-30,-48.47874,-88.48068,
2026-05-06,-29.14224,-106.98108,
2026-05-07,-7.32366,-109.46406,
2026-05-08,3.16041,-96.10719000000002,
2026-05-11,-18.74385,-99.38652,
2026-05-12,-9.37056,-107.06364,
2026-05-13,-4.97955,-114.87819,
2026-05-14,-6.69735,-73.0968,
2026-05-15,-10.34673,-54.30129,
2026-05-18,-17.47107,-64.4487,
2026-05-19,-7.52142,-75.13053000000001,
2026-05-20,-14.36664,-70.75332,
2026-05-21,-4.5756,-65.95836,
2026-05-22,-7.69896,-68.67777,
2026-05-25,-25.1748,-87.15522,
2026-05-26,7.32096,-69.48753,
2026-05-27,1.94922,-50.06724,
2026-05-28,-12.99198,-55.537800000000004,
2026-05-29,15.54492,-25.62624,
2026-06-01,11.36592,-9.684720000000002,
2026-06-02,-2.29749,-4.283250000000004,
2026-06-03,-19.6884,1.2031499999999937,
2026-06-04,-6.21048,-12.328290000000003,
2026-06-05,8.56818,-5.709330000000003,
2026-06-08,15.95484,23.237489999999998,
2026-06-09,-15.95295,-8.260380000000001,
2026-06-10,-9.20832,-28.83462,
2026-06-11,1.47504,-25.06209,
2026-06-12,2.95008,-2.42361,
2026-06-15,-6.47244,-2.6855700000000002,
2026-06-16,4.06245,-7.1913,
2026-06-17,-19.83597,-42.982110000000006,
2026-06-18,-16.88229,-43.91145,
2026-06-22,7.58664,-27.116490000000002,
2026-06-23,1.15311,-27.43842,
2026-06-24,-9.62064,-40.00914,
2026-06-25,-3.52836,-37.06506,
2026-06-26,-3.39147,-44.51898,
2026-06-29,-24.21096,-48.893969999999996,
2026-06-30,0.6328799999999999,-31.378800000000002,
2026-07-01,3.0228,-35.94264,
2026-07-02,24.728730000000006,-12.367019999999993,
2026-07-03,1.2611999999999999,-1.4851799999999933,
