date,wind_all_a_proxy_amount,hs300_amount,csi500_amount,csi1000_amount,csi2000_amount,hs300_share_pct,csi500_share_pct,csi1000_share_pct,csi2000_share_pct
2025-07-16,14139.63,3006.57,2130.65,3060.83,4100.11,21.26342768516574,15.068640409968296,21.647171814255394,28.997293422812337
2025-07-17,15177.11,3255.17,2350.43,3259.84,4289.66,21.44789093575786,15.486676976051433,21.478660957191455,28.26401073722204
2025-07-18,15495.73,3542.44,2364.83,3302.17,4177.93,22.860749380635827,15.261171948659404,21.310193195157634,26.961814641840043
2025-07-21,16817.89,3779.39,2720.08,3599.08,4500.72,22.4724385758261,16.17372928470813,21.40030645937154,26.761502186064963
2025-07-22,18785.12,4508.74,3136.62,3959.15,4775.85,24.001656630354237,16.697364722716703,21.07598993245718,25.423579939867302
2025-07-23,18492.38,4703.31,3110.6,3783.3,4579.53,25.433773262284248,16.820982480351365,20.458697041700418,24.76441647857117
2025-07-24,18289.57,4870.0,3201.88,3744.06,4291.65,26.627197905691606,17.50658982141188,20.47101162028413,23.465013119499254
2025-07-25,17720.85,4304.46,3043.68,3631.4,4397.48,24.290369818603512,17.175699811239305,20.49224501082059,24.815288205701194
2025-07-28,17255.14,4067.93,3052.1,3595.76,4368.43,23.57517817879194,17.688062803315418,20.838776155974394,25.316688244778078
2025-07-29,17894.22,4287.64,2925.27,3837.04,4611.95,23.9610332274891,16.34756921508733,21.44290167439542,25.77340616131913
2025-07-30,18278.93,4451.68,3047.78,3926.75,4539.52,24.354160774180986,16.673733090503656,21.48238436276084,24.834714066961254
2025-07-31,19161.81,4921.43,3222.74,4018.22,4662.76,25.683534071155073,16.81855732835259,20.969939687325986,24.33360940328706
2025-08-01,15821.58,3596.85,2544.8,3490.71,4102.34,22.73382304422188,16.08436072756324,22.062967162571628,25.92876311973899
2025-08-04,14813.17,2959.77,2366.49,3295.55,4138.26,19.980665853426377,15.975581188901497,22.247432521195666,27.936356633995292
2025-08-05,15761.33,3069.34,2356.55,3485.78,4616.96,19.473864198008673,14.951466659222287,22.116027010410924,29.292959413958087
2025-08-06,17128.12,3076.75,2637.71,3990.56,5129.89,17.963150655179906,15.399880430543458,23.298295434641982,29.95010544064381
2025-08-07,18031.8,3581.08,2749.01,4114.11,5234.69,19.859803236504398,15.245344336117306,22.81585864971883,29.030324205015585
2025-08-08,16887.08,3085.08,2591.75,3815.45,5115.91,18.268877745590117,15.347531959344066,22.593900188783376,30.294817102779163
2025-08-11,18030.14,3606.86,2770.34,4011.63,5256.15,20.00461449550586,15.365049855408778,22.249577651643303,29.152019895574853
2025-08-12,18557.45,3830.88,2904.95,4099.23,5411.09,20.643353477983236,15.653820972170204,22.089403447133087,29.15858590485223
2025-08-13,21249.01,4627.77,3535.07,4714.79,5884.47,21.778755810270695,16.636398589863717,22.188280771668893,27.692913693390896
2025-08-14,22461.99,4850.76,3679.6,5136.04,6128.93,21.595415188057693,16.38145150986177,22.865471848220036,27.285783672773427
2025-08-15,22150.35,5186.87,3813.79,4925.09,5691.57,23.41665030123678,17.217741480382927,22.23481795998709,25.695169602286192
2025-08-18,27400.93,6353.66,4914.91,6068.67,6888.08,23.18775311640882,17.937018925999958,22.147678929145837,25.13812487386377
2025-08-19,25711.79,5535.36,4446.29,5587.81,7013.05,21.528489459504762,17.292806140684878,21.73248148028589,27.27561947262326
2025-08-20,23864.92,5388.15,4096.71,5175.21,6245.98,22.577699820489656,17.16624233393617,21.68542781622566,26.172222659870638
2025-08-21,23960.28,5585.21,4041.23,5165.07,6274.45,23.31028685808346,16.86637217929006,21.556801506493244,26.186880954646607
2025-08-22,25223.13,6759.35,4466.81,5277.66,5901.31,26.798220522195304,17.70918200873563,20.92389009611416,23.39642225211542
2025-08-25,31094.51,8236.82,5749.23,6609.11,7101.09,26.489627911808228,18.48953400455579,21.254909628741537,22.8371181922468
2025-08-26,26441.24,6279.5,4908.12,5733.43,6369.13,23.74888620957262,18.56236696917391,21.683665365164416,24.08786426052636
2025-08-27,31202.55,7850.98,5838.64,6727.84,7324.26,25.16134098014425,18.712060392499975,21.561827478843878,23.47327381896672
2025-08-28,29286.58,7394.24,5636.52,6317.12,6788.81,25.247878038337014,19.246084725495432,21.570016027818884,23.1806171973648
2025-08-29,27669.17,8311.94,5230.41,5650.59,5795.26,30.040438509720392,18.903385970739276,20.42197145776328,20.944827763174683
2025-09-01,27185.23,7703.78,5361.61,5645.68,5737.18,28.338108597940863,19.72251108414385,20.767453503244226,21.104033329863313
2025-09-02,28481.98,7779.99,5414.94,5985.14,6415.31,27.315481578176797,19.011810274426143,21.01377783426574,22.52410120363823
2025-09-03,23393.99,6556.97,4495.8,4866.67,5056.21,28.02843807319743,19.217756355371616,20.803078055517677,21.613286147425043
2025-09-04,25239.72,7731.25,4719.91,4885.95,5305.8,30.631282755910128,18.700326311068423,19.358178299917746,21.021627815205555
2025-09-05,22906.8,6641.67,4319.59,4588.43,4906.48,28.994316098276496,18.857238898493026,20.030864197530864,21.419316534828084
2025-09-08,24057.07,6836.31,4553.61,4955.41,5112.25,28.417051619336853,18.928364925570733,20.598560007515463,21.25050972541544
2025-09-09,20976.63,5628.61,3947.62,4319.29,4750.45,26.832765796984546,18.81913348330976,20.59096241865352,22.64639267603995
2025-09-10,19522.82,5355.39,3596.67,3961.05,4450.43,27.431436646959817,18.422902019277952,20.289333200838815,22.796040735918275
2025-09-11,24077.65,6931.57,4694.98,4862.37,5182.98,28.788399200088044,19.499328215170497,20.1945372575812,21.526104084077968
2025-09-12,24932.27,6895.76,4993.6,5088.28,5426.46,27.65797097496538,20.028661650142567,20.40841046563349,21.76480521027568
2025-09-15,22531.91,6133.15,4418.29,4751.05,4856.19,27.219840661532906,19.609034475994267,21.085873323655207,21.552500431610103
2025-09-16,23171.2,6137.28,4352.1,4747.34,5403.7,26.486673111448695,18.78236776688303,20.488105924596052,23.320760254108546
2025-09-17,23464.61,6084.54,4455.49,4932.96,5536.91,25.930710120475048,18.988127226491297,21.022978860505244,23.596855008457414
2025-09-18,31045.92,8399.87,6042.39,6540.23,6900.96,27.056276637960806,19.462750660956416,21.066310806701814,22.228234821193897
2025-09-19,22960.05,6038.87,4506.54,4832.03,5177.7,26.30164132917829,19.627744713099492,21.045380998734757,22.550909079030752
