date,wind_code,index_name,close,pct_change
2024-07-19,h30269.CSI,红利低波,10390.98,-0.7918716201765985
2024-07-22,000300.SH,沪深300,3514.92,-0.6809794801950764
2024-07-22,000688.SH,科创50,752.0,0.3375718841314601
2024-07-22,000852.SH,中证1000,4826.87,0.11303723799211962
2024-07-22,000905.SH,中证500,4865.98,-0.12458821235415973
2024-07-22,000922.CSI,中证红利,5151.02,-0.923822621440451
2024-07-22,000998.CSI,中证TMT,1635.93,0.2758316323715926
2024-07-22,932000.CSI,中证2000,1780.25,0.5700049713020183
2024-07-22,h30269.CSI,红利低波,10295.95,-0.9145431903439194
2024-07-23,000300.SH,沪深300,3439.88,-2.134899229569942
2024-07-23,000688.SH,科创50,721.11,-4.10771276595745
2024-07-23,000852.SH,中证1000,4694.95,-2.7330340365495642
2024-07-23,000905.SH,中证500,4722.8,-2.942469964940242
2024-07-23,000922.CSI,中证红利,5087.1,-1.240919274240826
2024-07-23,000998.CSI,中证TMT,1575.17,-3.714095346377899
2024-07-23,932000.CSI,中证2000,1745.64,-1.9441089734587802
2024-07-23,h30269.CSI,红利低波,10244.74,-0.49738003778185824
2024-07-24,000300.SH,沪深300,3418.17,-0.6311266672093252
2024-07-24,000688.SH,科创50,713.32,-1.0802790142974028
2024-07-24,000852.SH,中证1000,4631.01,-1.3618888380067862
2024-07-24,000905.SH,中证500,4668.06,-1.1590581858219706
2024-07-24,000922.CSI,中证红利,5075.72,-0.22370309213500805
2024-07-24,000998.CSI,中证TMT,1556.16,-1.2068538633925208
2024-07-24,932000.CSI,中证2000,1715.88,-1.704818862995805
2024-07-24,h30269.CSI,红利低波,10258.7,0.13626504918622384
2024-07-25,000300.SH,沪深300,3399.27,-0.552927443632123
2024-07-25,000688.SH,科创50,713.88,0.07850614030167069
2024-07-25,000852.SH,中证1000,4632.57,0.03368595619528403
2024-07-25,000905.SH,中证500,4665.45,-0.05591187773937856
2024-07-25,000922.CSI,中证红利,5063.54,-0.23996595556886602
2024-07-25,000998.CSI,中证TMT,1544.88,-0.7248611967921037
2024-07-25,932000.CSI,中证2000,1722.88,0.40795393617270026
2024-07-25,h30269.CSI,红利低波,10195.61,-0.6149902034370824
2024-07-26,000300.SH,沪深300,3409.29,0.2947691710278866
2024-07-26,000688.SH,科创50,719.87,0.8390765955062385
2024-07-26,000852.SH,中证1000,4702.08,1.5004630259229712
2024-07-26,000905.SH,中证500,4736.38,1.520324941859852
2024-07-26,000922.CSI,中证红利,5062.35,-0.023501344908893884
2024-07-26,000998.CSI,中证TMT,1557.93,0.8447258039459449
2024-07-26,932000.CSI,中证2000,1755.56,1.8968239227340256
2024-07-26,h30269.CSI,红利低波,10122.65,-0.7156021071814345
2024-07-29,000300.SH,沪深300,3390.74,-0.5441015578023678
2024-07-29,000688.SH,科创50,707.6,-1.7044744189923189
2024-07-29,000852.SH,中证1000,4685.65,-0.34941983122362963
2024-07-29,000905.SH,中证500,4708.84,-0.5814567243337732
2024-07-29,000922.CSI,中证红利,5067.15,0.09481762422589579
2024-07-29,000998.CSI,中证TMT,1548.14,-0.6283979382899041
