date,code,shares,nav,close_price,shares_prev,share_change,valuation_price,valuation_source,net_inflow_100mn,name,venue
2026-06-12,510330,14265249800.0,,5.012,14380449800.0,-115200000.0,5.012,ETF close,-5.773824,沪深300ETF华夏,SSE
2026-06-15,510330,13777449800.0,,5.118,14265249800.0,-487800000.0,5.118,ETF close,-24.965604,沪深300ETF华夏,SSE
2026-06-16,510330,13450749800.0,,5.113,13777449800.0,-326700000.0,5.113,ETF close,-16.704171000000002,沪深300ETF华夏,SSE
2026-06-17,510330,13170849800.0,,5.165,13450749800.0,-279900000.0,5.165,ETF close,-14.456835,沪深300ETF华夏,SSE
2026-06-18,510330,12889149800.0,,5.191,13170849800.0,-281700000.0,5.191,ETF close,-14.623047,沪深300ETF华夏,SSE
2026-06-22,510330,12753249800.0,,5.302,12889149800.0,-135900000.0,5.302,ETF close,-7.205418,沪深300ETF华夏,SSE
2026-06-23,510330,11727249800.0,,5.15,12753249800.0,-1026000000.0,5.15,ETF close,-52.839,沪深300ETF华夏,SSE
2026-06-24,510330,10534749800.0,,5.176,11727249800.0,-1192500000.0,5.176,ETF close,-61.7238,沪深300ETF华夏,SSE
2026-06-25,510330,8762649800.0,,5.259,10534749800.0,-1772100000.0,5.259,ETF close,-93.194739,沪深300ETF华夏,SSE
2026-06-26,510330,8754549800.0,,5.112,8762649800.0,-8100000.0,5.112,ETF close,-0.414072,沪深300ETF华夏,SSE
2026-06-29,510330,8274849800.0,,5.176,8754549800.0,-479700000.0,5.176,ETF close,-24.829272,沪深300ETF华夏,SSE
2026-06-30,510330,7489149800.0,,5.23,8274849800.0,-785700000.0,5.23,ETF close,-41.092110000000005,沪深300ETF华夏,SSE
2026-07-01,510330,7503549800.0,,5.209,7489149800.0,14400000.0,5.209,ETF close,0.750096,沪深300ETF华夏,SSE
2026-07-02,510330,7554849800.0,,5.059,7503549800.0,51300000.0,5.059,ETF close,2.595267,沪深300ETF华夏,SSE
2026-07-03,510330,7548549800.0,,5.096,7554849800.0,-6300000.0,5.096,ETF close,-0.321048,沪深300ETF华夏,SSE
2025-01-02,588000,90929668200.0,1.0071,1.009,,,1.0071,NAV,,科创50ETF华夏,SSE
2025-01-03,588000,92081668200.0,0.9926,0.993,90929668200.0,1152000000.0,0.9926,NAV,11.434752,科创50ETF华夏,SSE
2025-01-06,588000,92504668200.0,0.9894,0.989,92081668200.0,423000000.0,0.9894,NAV,4.185162,科创50ETF华夏,SSE
2025-01-07,588000,90790168200.0,1.0179,1.018,92504668200.0,-1714500000.0,1.0179,NAV,-17.4518955,科创50ETF华夏,SSE
2025-01-08,588000,90403168200.0,1.0177,1.017,90790168200.0,-387000000.0,1.0177,NAV,-3.938499,科创50ETF华夏,SSE
2025-01-09,588000,89777668200.0,1.0145,1.015,90403168200.0,-625500000.0,1.0145,NAV,-6.3456975,科创50ETF华夏,SSE
2025-01-10,588000,88738168200.0,1.0038,1.005,89777668200.0,-1039500000.0,1.0038,NAV,-10.434501,科创50ETF华夏,SSE
2025-01-13,588000,89206168200.0,1.0057,1.005,88738168200.0,468000000.0,1.0057,NAV,4.706676,科创50ETF华夏,SSE
2025-01-14,588000,88621168200.0,1.0368,1.037,89206168200.0,-585000000.0,1.0368,NAV,-6.06528,科创50ETF华夏,SSE
2025-01-15,588000,88009168200.0,1.0327,1.032,88621168200.0,-612000000.0,1.0327,NAV,-6.320124,科创50ETF华夏,SSE
2025-01-16,588000,89606668200.0,1.0098,1.011,88009168200.0,1597500000.0,1.0098,NAV,16.131555,科创50ETF华夏,SSE
2025-01-17,588000,89080168200.0,1.0206,1.02,89606668200.0,-526500000.0,1.0206,NAV,-5.373459,科创50ETF华夏,SSE
2025-01-20,588000,89030668200.0,1.0228,1.022,89080168200.0,-49500000.0,1.0228,NAV,-0.506286,科创50ETF华夏,SSE
2025-01-21,588000,88004668200.0,1.0307,1.031,89030668200.0,-1026000000.0,1.0307,NAV,-10.574982,科创50ETF华夏,SSE
2025-01-22,588000,87901168200.0,1.0293,1.029,88004668200.0,-103500000.0,1.0293,NAV,-1.0653255000000001,科创50ETF华夏,SSE
2025-01-23,588000,88823668200.0,1.0194,1.021,87901168200.0,922500000.0,1.0194,NAV,9.403965000000001,科创50ETF华夏,SSE
2025-01-24,588000,88328668200.0,1.0288,1.029,88823668200.0,-495000000.0,1.0288,NAV,-5.09256,科创50ETF华夏,SSE
2025-01-27,588000,89561668200.0,1.0082,1.009,88328668200.0,1233000000.0,1.0082,NAV,12.431106,科创50ETF华夏,SSE
2025-02-05,588000,86645668200.0,1.0377,1.037,89561668200.0,-2916000000.0,1.0377,NAV,-30.259332,科创50ETF华夏,SSE
2025-02-06,588000,84557668200.0,1.0678,1.067,86645668200.0,-2088000000.0,1.0678,NAV,-22.295664,科创50ETF华夏,SSE
2025-02-07,588000,83482168200.0,1.0755,1.076,84557668200.0,-1075500000.0,1.0755,NAV,-11.5670025,科创50ETF华夏,SSE
2025-02-10,588000,81596668200.0,1.0942,1.094,83482168200.0,-1885500000.0,1.0942,NAV,-20.631141,科创50ETF华夏,SSE
2025-02-11,588000,81812668200.0,1.0811,1.08,81596668200.0,216000000.0,1.0811,NAV,2.335176,科创50ETF华夏,SSE
2025-02-12,588000,80174668200.0,1.0993,1.099,81812668200.0,-1638000000.0,1.0993,NAV,-18.006534,科创50ETF华夏,SSE
2025-02-13,588000,80867668200.0,1.0739,1.073,80174668200.0,693000000.0,1.0739,NAV,7.442127,科创50ETF华夏,SSE
2025-02-14,588000,80327668200.0,1.0787,1.078,80867668200.0,-540000000.0,1.0787,NAV,-5.82498,科创50ETF华夏,SSE
2025-02-17,588000,79076668200.0,1.094,1.093,80327668200.0,-1251000000.0,1.094,NAV,-13.68594,科创50ETF华夏,SSE
2025-02-18,588000,79846168200.0,1.0672,1.066,79076668200.0,769500000.0,1.0672,NAV,8.212104,科创50ETF华夏,SSE
2025-02-19,588000,77717668200.0,1.0924,1.092,79846168200.0,-2128500000.0,1.0924,NAV,-23.251734,科创50ETF华夏,SSE
2025-02-20,588000,77236168200.0,1.0907,1.091,77717668200.0,-481500000.0,1.0907,NAV,-5.2517205,科创50ETF华夏,SSE
2025-02-21,588000,73015168200.0,1.1548,1.157,77236168200.0,-4221000000.0,1.1548,NAV,-48.744108,科创50ETF华夏,SSE
2025-02-24,588000,72925168200.0,1.1602,1.161,73015168200.0,-90000000.0,1.1602,NAV,-1.0441799999999999,科创50ETF华夏,SSE
2025-02-25,588000,72178168200.0,1.1622,1.162,72925168200.0,-747000000.0,1.1622,NAV,-8.681633999999999,科创50ETF华夏,SSE
2025-02-26,588000,70990168200.0,1.1867,1.186,72178168200.0,-1188000000.0,1.1867,NAV,-14.097996,科创50ETF华夏,SSE
2025-02-27,588000,71561668200.0,1.1856,1.185,70990168200.0,571500000.0,1.1856,NAV,6.775704,科创50ETF华夏,SSE
2025-02-28,588000,71903668200.0,1.1364,1.133,71561668200.0,342000000.0,1.1364,NAV,3.886488,科创50ETF华夏,SSE
2025-03-03,588000,72047668200.0,1.1196,1.119,71903668200.0,144000000.0,1.1196,NAV,1.612224,科创50ETF华夏,SSE
2025-03-04,588000,71228668200.0,1.1381,1.139,72047668200.0,-819000000.0,1.1381,NAV,-9.321038999999999,科创50ETF华夏,SSE
2025-03-05,588000,71269168200.0,1.1418,1.142,71228668200.0,40500000.0,1.1418,NAV,0.462429,科创50ETF华夏,SSE
2025-03-06,588000,69172168200.0,1.1813,1.181,71269168200.0,-2097000000.0,1.1813,NAV,-24.771861,科创50ETF华夏,SSE
2025-03-07,588000,70634668200.0,1.1664,1.167,69172168200.0,1462500000.0,1.1664,NAV,17.058600000000002,科创50ETF华夏,SSE
2025-03-10,588000,70891168200.0,1.1634,1.163,70634668200.0,256500000.0,1.1634,NAV,2.984121,科创50ETF华夏,SSE
2025-03-11,588000,71737168200.0,1.1586,1.158,70891168200.0,846000000.0,1.1586,NAV,9.801756000000001,科创50ETF华夏,SSE
2025-03-12,588000,71845168200.0,1.15,1.15,71737168200.0,108000000.0,1.15,NAV,1.2419999999999998,科创50ETF华夏,SSE
2025-03-13,588000,72488668200.0,1.1256,1.126,71845168200.0,643500000.0,1.1256,NAV,7.243236,科创50ETF华夏,SSE
2025-03-14,588000,72691168200.0,1.1451,1.146,72488668200.0,202500000.0,1.1451,NAV,2.3188275,科创50ETF华夏,SSE
2025-03-17,588000,72983668200.0,1.14,1.14,72691168200.0,292500000.0,1.14,NAV,3.3345,科创50ETF华夏,SSE
2025-03-18,588000,73105168200.0,1.1461,1.146,72983668200.0,121500000.0,1.1461,NAV,1.3925115,科创50ETF华夏,SSE
2025-03-19,588000,73604668200.0,1.1317,1.131,73105168200.0,499500000.0,1.1317,NAV,5.6528415,科创50ETF华夏,SSE
2025-03-20,588000,74531668200.0,1.119,1.119,73604668200.0,927000000.0,1.119,NAV,10.37313,科创50ETF华夏,SSE
2025-03-21,588000,75737668200.0,1.0955,1.095,74531668200.0,1206000000.0,1.0955,NAV,13.21173,科创50ETF华夏,SSE
2025-03-24,588000,76160668200.0,1.0989,1.101,75737668200.0,423000000.0,1.0989,NAV,4.648347,科创50ETF华夏,SSE
2025-03-25,588000,76898668200.0,1.0834,1.083,76160668200.0,738000000.0,1.0834,NAV,7.995491999999999,科创50ETF华夏,SSE
2025-03-26,588000,76691668200.0,1.0807,1.081,76898668200.0,-207000000.0,1.0807,NAV,-2.237049,科创50ETF华夏,SSE
2025-03-27,588000,76043668200.0,1.0923,1.092,76691668200.0,-648000000.0,1.0923,NAV,-7.078104,科创50ETF华夏,SSE
2025-03-28,588000,76345168200.0,1.0804,1.081,76043668200.0,301500000.0,1.0804,NAV,3.257406,科创50ETF华夏,SSE
2025-03-31,588000,76790668200.0,1.0735,1.074,76345168200.0,445500000.0,1.0735,NAV,4.782442499999999,科创50ETF华夏,SSE
2025-04-01,588000,76961668200.0,1.0753,1.076,76790668200.0,171000000.0,1.0753,NAV,1.838763,科创50ETF华夏,SSE
2025-04-02,588000,77222668200.0,1.0736,1.074,76961668200.0,261000000.0,1.0736,NAV,2.802096,科创50ETF华夏,SSE
2025-04-03,588000,77524168200.0,1.0686,1.068,77222668200.0,301500000.0,1.0686,NAV,3.221829,科创50ETF华夏,SSE
2025-04-07,588000,77915668200.0,0.9702,0.97,77524168200.0,391500000.0,0.9702,NAV,3.798333,科创50ETF华夏,SSE
2025-04-08,588000,77969668200.0,0.9867,0.986,77915668200.0,54000000.0,0.9867,NAV,0.532818,科创50ETF华夏,SSE
2025-04-09,588000,76070668200.0,1.0289,1.028,77969668200.0,-1899000000.0,1.0289,NAV,-19.538811,科创50ETF华夏,SSE
2025-04-10,588000,76138168200.0,1.0401,1.042,76070668200.0,67500000.0,1.0401,NAV,0.7020675,科创50ETF华夏,SSE
2025-04-11,588000,75022168200.0,1.0616,1.061,76138168200.0,-1116000000.0,1.0616,NAV,-11.847456,科创50ETF华夏,SSE
2025-04-14,588000,74450668200.0,1.0642,1.064,75022168200.0,-571500000.0,1.0642,NAV,-6.081903,科创50ETF华夏,SSE
2025-04-15,588000,74702668200.0,1.0558,1.054,74450668200.0,252000000.0,1.0558,NAV,2.660616,科创50ETF华夏,SSE
2025-04-16,588000,74140168200.0,1.0642,1.061,74702668200.0,-562500000.0,1.0642,NAV,-5.986125,科创50ETF华夏,SSE
2025-04-17,588000,73600168200.0,1.0667,1.066,74140168200.0,-540000000.0,1.0667,NAV,-5.76018,科创50ETF华夏,SSE
2025-04-18,588000,73888168200.0,1.0581,1.059,73600168200.0,288000000.0,1.0581,NAV,3.047328,科创50ETF华夏,SSE
2025-04-21,588000,73312168200.0,1.0695,1.07,73888168200.0,-576000000.0,1.0695,NAV,-6.160319999999999,科创50ETF华夏,SSE
2025-04-22,588000,73136668200.0,1.0662,1.066,73312168200.0,-175500000.0,1.0662,NAV,-1.871181,科创50ETF华夏,SSE
2025-04-23,588000,73501168200.0,1.0625,1.063,73136668200.0,364500000.0,1.0625,NAV,3.8728125,科创50ETF华夏,SSE
2025-04-24,588000,73636168200.0,1.0527,1.052,73501168200.0,135000000.0,1.0527,NAV,1.421145,科创50ETF华夏,SSE
2025-04-25,588000,73420168200.0,1.054,1.054,73636168200.0,-216000000.0,1.054,NAV,-2.27664,科创50ETF华夏,SSE
2025-04-28,588000,73208668200.0,1.0524,1.051,73420168200.0,-211500000.0,1.0524,NAV,-2.225826,科创50ETF华夏,SSE
2025-04-29,588000,73051168200.0,1.0537,1.053,73208668200.0,-157500000.0,1.0537,NAV,-1.6595775,科创50ETF华夏,SSE
2025-04-30,588000,72664168200.0,1.0626,1.062,73051168200.0,-387000000.0,1.0626,NAV,-4.112262,科创50ETF华夏,SSE
2025-05-06,588000,72484168200.0,1.0773,1.078,72664168200.0,-180000000.0,1.0773,NAV,-1.93914,科创50ETF华夏,SSE
2025-05-07,588000,73060168200.0,1.0811,1.081,72484168200.0,576000000.0,1.0811,NAV,6.227136,科创50ETF华夏,SSE
2025-05-08,588000,73636168200.0,1.0773,1.077,73060168200.0,576000000.0,1.0773,NAV,6.205248,科创50ETF华夏,SSE
2025-05-09,588000,74392168200.0,1.0563,1.056,73636168200.0,756000000.0,1.0563,NAV,7.985628,科创50ETF华夏,SSE
2025-05-12,588000,74860168200.0,1.0614,1.063,74392168200.0,468000000.0,1.0614,NAV,4.967351999999999,科创50ETF华夏,SSE
2025-05-13,588000,74846668200.0,1.0597,1.06,74860168200.0,-13500000.0,1.0597,NAV,-0.1430595,科创50ETF华夏,SSE
2025-05-14,588000,75139168200.0,1.064,1.065,74846668200.0,292500000.0,1.064,NAV,3.1122,科创50ETF华夏,SSE
2025-05-15,588000,75571168200.0,1.0505,1.05,75139168200.0,432000000.0,1.0505,NAV,4.53816,科创50ETF华夏,SSE
2025-05-16,588000,75737668200.0,1.0447,1.044,75571168200.0,166500000.0,1.0447,NAV,1.7394255,科创50ETF华夏,SSE
2025-05-19,588000,76291168200.0,1.045,1.045,75737668200.0,553500000.0,1.045,NAV,5.784075,科创50ETF华夏,SSE
2025-05-20,588000,76259668200.0,1.0475,1.048,76291168200.0,-31500000.0,1.0475,NAV,-0.32996250000000005,科创50ETF华夏,SSE
2025-05-21,588000,76489168200.0,1.045,1.045,76259668200.0,229500000.0,1.045,NAV,2.3982749999999995,科创50ETF华夏,SSE
2025-05-22,588000,76579168200.0,1.0399,1.039,76489168200.0,90000000.0,1.0399,NAV,0.93591,科创50ETF华夏,SSE
2025-05-23,588000,76691668200.0,1.0292,1.03,76579168200.0,112500000.0,1.0292,NAV,1.1578499999999998,科创50ETF华夏,SSE
2025-05-26,588000,76426168200.0,1.0311,1.035,76691668200.0,-265500000.0,1.0311,NAV,-2.7375705,科创50ETF华夏,SSE
2025-05-27,588000,76754668200.0,1.0211,1.028,76426168200.0,328500000.0,1.0211,NAV,3.3543134999999995,科创50ETF华夏,SSE
2025-05-28,588000,76934668200.0,1.0187,1.023,76754668200.0,180000000.0,1.0187,NAV,1.83366,科创50ETF华夏,SSE
2025-05-29,588000,76970668200.0,1.035,1.04,76934668200.0,36000000.0,1.035,NAV,0.3726,科创50ETF华夏,SSE
2025-05-30,588000,77335168200.0,1.026,1.03,76970668200.0,364500000.0,1.026,NAV,3.73977,科创50ETF华夏,SSE
2025-06-03,588000,77150668200.0,1.0306,1.034,77335168200.0,-184500000.0,1.0306,NAV,-1.901457,科创50ETF华夏,SSE
2025-06-04,588000,77096668200.0,1.0351,1.04,77150668200.0,-54000000.0,1.0351,NAV,-0.558954,科创50ETF华夏,SSE
2025-06-05,588000,76709668200.0,1.0463,1.051,77096668200.0,-387000000.0,1.0463,NAV,-4.049181,科创50ETF华夏,SSE
2025-06-06,588000,76853668200.0,1.0416,1.047,76709668200.0,144000000.0,1.0416,NAV,1.499904,科创50ETF华夏,SSE
2025-06-09,588000,76822168200.0,1.0479,1.053,76853668200.0,-31500000.0,1.0479,NAV,-0.3300885,科创50ETF华夏,SSE
2025-06-10,588000,77443168200.0,1.0325,1.032,76822168200.0,621000000.0,1.0325,NAV,6.411825,科创50ETF华夏,SSE
2025-06-11,588000,78077668200.0,1.0304,1.031,77443168200.0,634500000.0,1.0304,NAV,6.537888,科创50ETF华夏,SSE
2025-06-12,588000,78374668200.0,1.0269,1.027,78077668200.0,297000000.0,1.0269,NAV,3.049893,科创50ETF华夏,SSE
2025-06-13,588000,78640168200.0,1.0226,1.022,78374668200.0,265500000.0,1.0226,NAV,2.715003,科创50ETF华夏,SSE
2025-06-16,588000,78968668200.0,1.0206,1.021,78640168200.0,328500000.0,1.0206,NAV,3.352671,科创50ETF华夏,SSE
2025-06-17,588000,80282668200.0,1.0123,1.012,78968668200.0,1314000000.0,1.0123,NAV,13.301622,科创50ETF华夏,SSE
2025-06-18,588000,80552668200.0,1.0178,1.018,80282668200.0,270000000.0,1.0178,NAV,2.74806,科创50ETF华夏,SSE
2025-06-19,588000,80476168200.0,1.0122,1.012,80552668200.0,-76500000.0,1.0122,NAV,-0.774333,科创50ETF华夏,SSE
2025-06-20,588000,80629168200.0,1.0068,1.006,80476168200.0,153000000.0,1.0068,NAV,1.540404,科创50ETF华夏,SSE
2025-06-23,588000,80278168200.0,1.0113,1.012,80629168200.0,-351000000.0,1.0113,NAV,-3.5496630000000007,科创50ETF华夏,SSE
2025-06-24,588000,80089168200.0,1.0296,1.029,80278168200.0,-189000000.0,1.0296,NAV,-1.945944,科创50ETF华夏,SSE
