date,pe_ttm,dividend_yield_ttm,erp,pe_ttm_mean,pe_ttm_std,pe_ttm_pctile,erp_mean,erp_std,erp_pctile,cn10y
2023-12-21,8.0404,4.2536,9.8471,10.486390559052204,1.8024731850069502,2.554609403924472,6.505188802225046,1.6076060990562955,98.13084112149532,2.5901
2023-12-22,7.8669,4.3798,10.1238,10.485421095484826,1.8028437908758506,1.4433752775721687,6.506541048562031,1.6088265991297028,99.1778774289985,2.5877
2023-12-27,8.0197,4.2939,9.9116,10.484508879023307,1.8031338593910078,2.478727339992601,6.507813016791931,1.6098713179863553,98.2069480762047,2.5577
2023-12-28,8.2115,4.1885,9.6086,10.483668269230769,1.8033300643524992,3.4393491124260356,6.5089708909454815,1.6106852180988391,97.23674383868558,2.5694
2023-12-29,8.2229,4.1965,9.6059,10.482832495378927,1.8035204173007215,3.512014787430684,6.510126892852556,1.611495332021631,97.20044792833147,2.5553
2024-01-02,8.1255,4.246,9.7468,10.481961345158906,1.803756275146898,3.0303030303030303,6.511334606698507,1.6124068104929208,97.5,2.5601
2024-01-03,8.084,4.2738,9.817,10.481075507942371,1.804011702086676,2.7705947543405984,6.512567603861245,1.6133692524387866,97.76202909362178,2.5531
2024-01-04,8.0972,4.2727,9.8131,10.480195199409158,1.8042600140358747,2.917282127031019,6.513798227424309,1.6143264891693134,97.72557792692021,2.5368
2024-01-05,8.0524,4.303,9.9012,10.479299003322259,1.8045297156052895,2.6947212993724623,6.515060770015653,1.6153494480167918,98.09914275065226,2.5175
2024-01-08,7.9125,4.375,10.1246,10.47835184501845,1.804870124281085,1.6974169741697416,6.516405605794335,1.61655005479609,99.18032786885246,2.5136
2024-01-09,7.8934,4.3868,10.1826,10.477398340095906,1.8052197688401623,1.6599040944300998,6.517771041322904,1.6177963084979197,99.25512104283054,2.4862
2024-01-10,7.8468,4.4137,10.2458,10.476428355457227,1.805593388255762,1.364306784660767,6.519158989557706,1.619093224844473,99.29262844378258,2.4982
2024-01-11,7.9219,4.3638,10.124,10.475486767416143,1.8059264179141847,2.0641356431994105,6.520500575344993,1.6202844394723452,99.0695943431336,2.4992
2024-01-12,7.9134,4.3743,10.1196,10.474542741341194,1.8062630839677771,1.8054532056005896,6.521839526023809,1.6214691506341075,98.92113095238095,2.5172
2024-01-15,7.9002,4.3832,10.1367,10.473594548802946,1.8066058542909937,1.7311233885819521,6.523183840071401,1.6226651409944142,99.10747489773149,2.5212
2024-01-16,7.7533,4.4724,10.3725,10.472592967599411,1.8070270066370437,0.9941089837997054,6.524614812621561,1.6240595899769243,99.51672862453532,2.5252
2024-01-17,7.4815,4.6375,10.8586,10.471492086860508,1.8076051578819874,0.2944423997055576,6.526225360814567,1.6259049496147062,99.88851727982163,2.5077
2024-01-18,7.5391,4.5973,10.755,10.470413208241354,1.808147336538501,0.515084621044886,6.5277962280653785,1.6276440865990418,99.77711738484399,2.5092
2024-01-19,7.4957,4.6289,10.8383,10.469319161456417,1.808714361896825,0.3677822728944465,6.529396860732269,1.6294595726094574,99.85146676568883,2.5027
2024-01-22,7.3327,4.7413,11.1453,10.468165992647059,1.8093812827630738,0.07352941176470588,6.531110262046028,1.6315817119384965,99.96288047512992,2.4922
2024-01-23,7.5161,4.6208,10.8006,10.467081073134876,1.8099334298465286,0.47776552737963984,6.532694488293877,1.6333500646573653,99.77736549165121,2.5042
2024-01-24,7.7977,4.4558,10.3201,10.466100404114622,1.8103238282307614,1.3592946362968406,6.5340993122967355,1.6346747524408292,99.25816023738872,2.5042
