date,hsi_close,hstech_close,vhsi_close,up_count,down_count,southbound_net_buy_100mn,short_ratio,hstech_hsi_ratio,advance_line,advance_line_ma20,southbound_ma20,breadth_z,vhsi_z,relative_z,southbound_z,short_z,hk_sentiment_z
2025-08-08,24858.82,5460.3,20.53,33.0,49.0,57.4287,0.1403,0.21965242115273373,-16.0,9.8,61.636565,0.81286599778579,-0.8186802392150437,0.1808270630816157,0.8824041604465708,-0.5652122059323923,0.09844095523330809
2025-08-11,24906.81,5460.02,20.68,50.0,33.0,0.3512,0.1344,0.21921795685597634,17.0,9.35,57.889175,0.7705131338551028,-0.783681367567675,0.14826772009064268,0.7243011666164582,-0.769721101572111,0.017935910284483512
2025-08-12,24969.68,5439.16,19.71,55.0,28.0,86.6701,0.136,0.21783058493340723,27.0,9.1,60.47417,0.7463619135743216,-0.9972376911573714,0.04472390227722973,0.8306617635955578,-0.7124501827800372,-0.0175880588980599
2025-08-13,25613.67,5630.78,21.17,79.0,5.0,-75.6728,0.1333,0.21983495531878094,74.0,14.1,55.957025,1.196274919101007,-0.670791245596508,0.19416916620126737,0.6404475369677879,-0.805181665564385,0.11098374222183385
2025-08-14,25519.32,5576.03,20.58,35.0,48.0,9.459,0.1318,0.21850229551571124,-13.0,13.3,55.58038499999999,1.120522708849855,-0.8006554740178206,0.09439769912748652,0.6235723150124995,-0.8557852778814494,0.036410394218114206
2025-08-15,25270.07,5543.17,19.7,25.0,60.0,329.9139,0.1634,0.21935712880890318,-35.0,8.9,69.36157,0.720302927940152,-0.9944212450277625,0.15819575890955292,1.197564592538753,0.2496659265890728,0.26626159218995366
2025-08-18,25176.85,5579.18,20.45,31.0,52.0,12.7437,0.1363,0.22159960439848514,-21.0,6.15,66.77338,0.4701553352134369,-0.8254273477306997,0.3258439466211027,1.0861370533296741,-0.6984626369556787,0.07164927009556707
2025-08-19,25122.9,5542.03,19.83,38.0,43.0,171.2073,0.1421,0.22059674639472351,-5.0,3.75,74.09096,0.25192608446459885,-0.9614392370455523,0.25025322764321994,1.387512864217187,-0.4943644253027291,0.08677770279534486
2025-08-20,25165.94,5541.27,19.44,45.0,33.0,-134.9359,0.1412,0.22018927169022898,12.0,1.85,67.94559000000001,0.079124979762123,-1.0457289381943153,0.21935284190898438,1.1271895844715227,-0.5251100919320631,-0.029034324796749677
2025-08-21,25104.61,5498.5,19.06,42.0,42.0,68.6078,0.1661,0.21902351799131714,0.0,0.5,69.68178,-0.0436820093825424,-1.1273224360126632,0.13149738637164515,1.1961500379322367,0.3489285927361776,0.10111431432897078
2025-08-22,25339.14,5647.68,20.13,50.0,30.0,47.5068,0.1443,0.22288364956348164,20.0,3.65,62.835225,0.24303228668128243,-0.8867324308939049,0.4216011910210553,0.9078946159395659,-0.4169486367580054,0.053769405197998665
2025-08-25,25829.91,5825.09,21.85,72.0,12.0,-12.5908,0.1347,0.22551723951031963,60.0,5.4,57.975505,0.4021018210459989,-0.5022665838941646,0.6190890855208568,0.7034048001086115,-0.7533664123324085,0.09379254208977883
2025-08-26,25524.92,5782.24,20.41,18.0,66.0,152.2306,0.1516,0.22653312919296123,-48.0,2.05,59.767950000000006,0.09604306382659916,-0.8220933667023519,0.6944667026368313,0.7768415091202026,-0.15803976967863587,0.11744362784052904
2025-08-27,25201.76,5697.53,19.97,10.0,74.0,141.5256,0.1515,0.22607667083568767,-64.0,-0.3,61.479594999999996,-0.11868541355197294,-0.918294589769064,0.6588455002780581,0.8466784256853451,-0.16136168603757872,0.0614364473209575
2025-08-28,24998.82,5644.02,20.04,40.0,42.0,-187.0778,0.1586,0.2257714564127427,-2.0,2.8,46.103165000000004,0.1649072757977088,-0.9006549105222019,0.6346961117520658,0.20260506709448053,0.08915247590076822,0.03814120400456428
2025-08-29,25077.62,5674.31,21.02,52.0,32.0,110.2216,0.1368,0.22626987728500553,20.0,6.75,45.997915,0.5261320476412152,-0.6804437334940147,0.6711875036947956,0.19793920838432902,-0.6800886472939485,0.0069452757864753465
2025-09-01,25617.42,5798.96,21.6,63.0,21.0,109.2925,0.1355,0.226367838759719,42.0,7.2,59.73263000000001,0.5664939649476959,-0.5498769258701384,0.6773931616698294,0.7728563869070025,-0.7247119755620318,0.14843092241847156
2025-09-02,25496.55,5728.46,20.98,23.0,59.0,85.0361,0.1486,0.2246758875220373,-36.0,3.4,53.247485000000005,0.21730776264775842,-0.6874008811700189,0.5484397659441825,0.49977684542227513,-0.26081707156058964,0.06346128425672151
