date,indicator_key,indicator,group,value,mom_diff,yoy_diff
2015-09-30,M0017135,原材料库存,component,47.5,-0.7999999999999972,
2015-09-30,M0017136,从业人员,component,47.9,0.0,
2015-09-30,M0017137,供应商配送时间,component,50.8,0.19999999999999574,
2015-09-30,M0017126,制造业PMI,headline,49.8,0.09999999999999432,
2015-09-30,M5207831,建筑业PMI,headline,55.2,-2.5999999999999943,
2015-09-30,M5207838,服务业PMI,headline,53.0,0.3999999999999986,
2015-09-30,M6642295,装备制造业,industry,50.9,2.6000000000000014,
2015-10-31,M0017127,生产,component,52.2,-0.09999999999999432,
2015-10-31,M0017128,新订单,component,50.3,0.09999999999999432,
2015-10-31,M0017129,新出口订单,component,47.4,-0.5,
2015-10-31,M0017130,在手订单,component,44.4,0.6000000000000014,
2015-10-31,M0017131,产成品库存,component,47.2,0.4000000000000057,
2015-10-31,M0017132,采购量,component,48.8,0.19999999999999574,
2015-10-31,M0017133,进口,component,47.5,-0.6000000000000014,
2015-10-31,M0017134,主要原材料购进价格,component,44.4,-1.3999999999999986,
2015-10-31,M0017135,原材料库存,component,47.2,-0.29999999999999716,
2015-10-31,M0017136,从业人员,component,47.8,-0.10000000000000142,
2015-10-31,M0017137,供应商配送时间,component,50.6,-0.19999999999999574,
2015-10-31,M0017126,制造业PMI,headline,49.8,0.0,
2015-10-31,M5207831,建筑业PMI,headline,57.1,1.8999999999999986,
2015-10-31,M5207838,服务业PMI,headline,52.3,-0.7000000000000028,
2015-11-30,M0017127,生产,component,51.9,-0.30000000000000426,
2015-11-30,M0017128,新订单,component,49.8,-0.5,
2015-11-30,M0017129,新出口订单,component,46.4,-1.0,
2015-11-30,M0017130,在手订单,component,43.0,-1.3999999999999986,
2015-11-30,M0017131,产成品库存,component,46.7,-0.5,
2015-11-30,M0017132,采购量,component,48.3,-0.5,
2015-11-30,M0017133,进口,component,46.7,-0.7999999999999972,
2015-11-30,M0017134,主要原材料购进价格,component,41.1,-3.299999999999997,
2015-11-30,M0017135,原材料库存,component,47.1,-0.10000000000000142,
2015-11-30,M0017136,从业人员,component,47.6,-0.19999999999999574,
2015-11-30,M0017137,供应商配送时间,component,50.6,0.0,
2015-11-30,M0017126,制造业PMI,headline,49.6,-0.19999999999999574,
2015-11-30,M5207831,建筑业PMI,headline,58.1,1.0,
2015-11-30,M5207838,服务业PMI,headline,52.8,0.5,
2015-11-30,M6642296,消费品制造业,industry,53.4,,
2015-12-31,M0017127,生产,component,52.2,0.30000000000000426,
2015-12-31,M0017128,新订单,component,50.2,0.4000000000000057,
2015-12-31,M0017129,新出口订单,component,47.5,1.1000000000000014,
2015-12-31,M0017130,在手订单,component,43.6,0.6000000000000014,
2015-12-31,M0017131,产成品库存,component,46.1,-0.6000000000000014,
2015-12-31,M0017132,采购量,component,50.3,2.0,
2015-12-31,M0017133,进口,component,47.6,0.8999999999999986,
2015-12-31,M0017134,主要原材料购进价格,component,42.4,1.2999999999999972,
2015-12-31,M0017135,原材料库存,component,47.6,0.5,
2015-12-31,M0017136,从业人员,component,47.4,-0.20000000000000284,
2015-12-31,M0017137,供应商配送时间,component,50.7,0.10000000000000142,
2015-12-31,M0017126,制造业PMI,headline,49.7,0.10000000000000142,
2015-12-31,M5207831,建筑业PMI,headline,58.3,0.19999999999999574,
2015-12-31,M5207838,服务业PMI,headline,53.7,0.9000000000000057,
2015-12-31,M6642295,装备制造业,industry,51.2,,
2015-12-31,M6642296,消费品制造业,industry,54.4,1.0,
2016-01-31,M0017127,生产,component,51.4,-0.8000000000000043,-0.30000000000000426
2016-01-31,M0017128,新订单,component,49.5,-0.7000000000000028,-0.7000000000000028
2016-01-31,M0017129,新出口订单,component,46.9,-0.6000000000000014,-1.5
2016-01-31,M0017130,在手订单,component,43.4,-0.20000000000000284,-0.6000000000000014
2016-01-31,M0017131,产成品库存,component,44.6,-1.5,-3.3999999999999986
2016-01-31,M0017132,采购量,component,49.0,-1.2999999999999972,-0.6000000000000014
2016-01-31,M0017133,进口,component,46.4,-1.2000000000000028,0.0
2016-01-31,M0017134,主要原材料购进价格,component,45.1,2.700000000000003,3.200000000000003
2016-01-31,M0017135,原材料库存,component,46.8,-0.8000000000000043,-0.5
2016-01-31,M0017136,从业人员,component,47.8,0.3999999999999986,-0.10000000000000142
2016-01-31,M0017137,供应商配送时间,component,50.5,-0.20000000000000284,0.29999999999999716
2016-01-31,M0017126,制造业PMI,headline,49.4,-0.30000000000000426,-0.3999999999999986
2016-01-31,M5207831,建筑业PMI,headline,57.8,-0.5,0.8999999999999986
2016-01-31,M5207838,服务业PMI,headline,52.7,-1.0,-0.19999999999999574
2016-01-31,M6642295,装备制造业,industry,48.9,-2.3000000000000043,
2016-01-31,M6642296,消费品制造业,industry,57.8,3.3999999999999986,
2016-02-29,M0017127,生产,component,50.2,-1.1999999999999957,-1.1999999999999957
2016-02-29,M0017128,新订单,component,48.6,-0.8999999999999986,-1.7999999999999972
2016-02-29,M0017129,新出口订单,component,47.4,0.5,-1.1000000000000014
2016-02-29,M0017130,在手订单,component,43.9,0.5,0.10000000000000142
2016-02-29,M0017131,产成品库存,component,46.4,1.7999999999999972,-0.6000000000000014
2016-02-29,M0017132,采购量,component,47.9,-1.1000000000000014,-1.5
2016-02-29,M0017133,进口,component,45.8,-0.6000000000000014,-1.7000000000000028
2016-02-29,M0017134,主要原材料购进价格,component,50.2,5.100000000000001,6.300000000000004
2016-02-29,M0017135,原材料库存,component,48.0,1.2000000000000028,-0.20000000000000284
2016-02-29,M0017136,从业人员,component,47.6,-0.19999999999999574,-0.19999999999999574
2016-02-29,M0017137,供应商配送时间,component,49.8,-0.7000000000000028,-0.10000000000000142
2016-02-29,M0017126,制造业PMI,headline,49.0,-0.3999999999999986,-0.8999999999999986
2016-02-29,M5207831,建筑业PMI,headline,55.2,-2.5999999999999943,-1.2999999999999972
2016-02-29,M5207838,服务业PMI,headline,52.2,-0.5,-1.0
2016-03-31,M0017127,生产,component,52.3,2.0999999999999943,0.19999999999999574
2016-03-31,M0017128,新订单,component,51.4,2.799999999999997,1.1999999999999957
2016-03-31,M0017129,新出口订单,component,50.2,2.8000000000000043,1.9000000000000057
2016-03-31,M0017130,在手订单,component,45.7,1.8000000000000043,1.6000000000000014
2016-03-31,M0017131,产成品库存,component,46.0,-0.3999999999999986,-2.6000000000000014
2016-03-31,M0017132,采购量,component,52.6,4.700000000000003,2.8999999999999986
2016-03-31,M0017133,进口,component,50.1,4.300000000000004,2.0
2016-03-31,M0017134,主要原材料购进价格,component,55.3,5.099999999999994,10.299999999999997
2016-03-31,M0017135,原材料库存,component,48.2,0.20000000000000284,0.20000000000000284
2016-03-31,M0017136,从业人员,component,48.1,0.5,-0.29999999999999716
2016-03-31,M0017137,供应商配送时间,component,51.3,1.5,1.1999999999999957
2016-03-31,M0017126,制造业PMI,headline,50.2,1.2000000000000028,0.10000000000000142
2016-03-31,M5207831,建筑业PMI,headline,58.0,2.799999999999997,-0.8999999999999986
2016-03-31,M5207838,服务业PMI,headline,53.1,0.8999999999999986,0.8000000000000043
2016-04-30,M0017127,生产,component,52.2,-0.09999999999999432,-0.3999999999999986
2016-04-30,M0017128,新订单,component,51.0,-0.3999999999999986,0.7999999999999972
2016-04-30,M0017129,新出口订单,component,50.1,-0.10000000000000142,2.0
2016-04-30,M0017130,在手订单,component,44.8,-0.9000000000000057,1.0
2016-04-30,M0017131,产成品库存,component,45.5,-0.5,-2.5
2016-04-30,M0017132,采购量,component,51.0,-1.6000000000000014,0.8999999999999986
2016-04-30,M0017133,进口,component,49.5,-0.6000000000000014,1.7000000000000028
2016-04-30,M0017134,主要原材料购进价格,component,57.6,2.3000000000000043,9.800000000000004
2016-04-30,M0017135,原材料库存,component,47.4,-0.8000000000000043,-0.8000000000000043
2016-04-30,M0017136,从业人员,component,47.8,-0.30000000000000426,-0.20000000000000284
2016-04-30,M0017137,供应商配送时间,component,50.1,-1.1999999999999957,-0.29999999999999716
2016-04-30,M0017126,制造业PMI,headline,50.1,-0.10000000000000142,0.0
2016-04-30,M5207831,建筑业PMI,headline,59.4,1.3999999999999986,1.8999999999999986
2016-04-30,M5207838,服务业PMI,headline,52.5,-0.6000000000000014,0.10000000000000142
2016-05-31,M0017127,生产,component,52.3,0.09999999999999432,-0.6000000000000014
2016-05-31,M0017128,新订单,component,50.7,-0.29999999999999716,0.10000000000000142
2016-05-31,M0017129,新出口订单,component,50.0,-0.10000000000000142,1.1000000000000014
2016-05-31,M0017130,在手订单,component,45.1,0.30000000000000426,0.3999999999999986
2016-05-31,M0017131,产成品库存,component,46.8,1.2999999999999972,-0.7000000000000028
2016-05-31,M0017132,采购量,component,51.2,0.20000000000000284,0.20000000000000284
2016-05-31,M0017133,进口,component,49.6,0.10000000000000142,2.0
2016-05-31,M0017134,主要原材料购进价格,component,55.3,-2.3000000000000043,5.899999999999999
2016-05-31,M0017135,原材料库存,component,47.6,0.20000000000000284,-0.6000000000000014
2016-05-31,M0017136,从业人员,component,48.2,0.4000000000000057,0.0
2016-05-31,M0017137,供应商配送时间,component,50.4,0.29999999999999716,-0.5
2016-05-31,M0017126,制造业PMI,headline,50.1,0.0,-0.10000000000000142
2016-05-31,M5207831,建筑业PMI,headline,59.4,0.0,1.5
2016-05-31,M5207838,服务业PMI,headline,52.0,-0.5,0.0
2016-06-30,M0017127,生产,component,52.5,0.20000000000000284,-0.3999999999999986
2016-06-30,M0017128,新订单,component,50.5,-0.20000000000000284,0.3999999999999986
2016-06-30,M0017129,新出口订单,component,49.6,-0.3999999999999986,1.3999999999999986
2016-06-30,M0017130,在手订单,component,45.0,-0.10000000000000142,0.3999999999999986
2016-06-30,M0017131,产成品库存,component,46.5,-0.29999999999999716,-1.2000000000000028
2016-06-30,M0017132,采购量,component,50.5,-0.7000000000000028,-0.3999999999999986
2016-06-30,M0017133,进口,component,49.1,-0.5,1.1000000000000014
2016-06-30,M0017134,主要原材料购进价格,component,51.3,-4.0,4.0
2016-06-30,M0017135,原材料库存,component,47.0,-0.6000000000000014,-1.7000000000000028
2016-06-30,M0017136,从业人员,component,47.9,-0.30000000000000426,-0.20000000000000284
2016-06-30,M0017137,供应商配送时间,component,50.7,0.30000000000000426,0.4000000000000057
2016-06-30,M0017126,制造业PMI,headline,50.0,-0.10000000000000142,-0.20000000000000284
2016-06-30,M5207831,建筑业PMI,headline,62.0,2.6000000000000014,-0.10000000000000142
2016-06-30,M5207838,服务业PMI,headline,52.2,0.20000000000000284,-0.09999999999999432
2016-07-31,M0017127,生产,component,52.1,-0.3999999999999986,-0.29999999999999716
2016-07-31,M0017128,新订单,component,50.4,-0.10000000000000142,0.5
2016-07-31,M0017129,新出口订单,component,49.0,-0.6000000000000014,1.1000000000000014
2016-07-31,M0017130,在手订单,component,45.5,0.5,1.5
2016-07-31,M0017131,产成品库存,component,46.8,0.29999999999999716,-0.6000000000000014
2016-07-31,M0017132,采购量,component,50.5,0.0,0.20000000000000284
